SPControllerDEP1{reserved=0, points[ServicePoint{queue=[1], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}]}
SPControllerDEP2{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}]}
SPControllerDEP3{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}]}
SPControllerDEP1{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}]}
SPControllerDEP2{reserved=0, points[ServicePoint{queue=[1], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}]}
SPControllerDEP3{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}]}
SPControllerDEP1{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}]}
SPControllerDEP2{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}]}
SPControllerDEP3{reserved=0, points[ServicePoint{queue=[1], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}]}
SPControllerDEP1{reserved=0, points[ServicePoint{queue=[2], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}]}
SPControllerDEP2{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}]}
SPControllerDEP3{reserved=1, points[ServicePoint{queue=[1], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=true}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}]}
SPControllerDEP1{reserved=1, points[ServicePoint{queue=[2], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=true}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}]}
SPControllerDEP2{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP2, reserved=false}]}
SPControllerDEP3{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP3, reserved=false}]}
SPControllerDEP1{reserved=0, points[ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}, ServicePoint{queue=[], eventList=simu.framework.EventList@6e5e91e4, eventTypeScheduled=DEP1, reserved=false}]}
